hIp1,hRs1,nbSlow,rescuedDynamicFastMed,rescuedDynamicMax,rescuedDynamicMed,rescuedDynamicMin,rescuedDynamicSlowMed,zombifiedDynamicMed
0.7000000000000001,0.2,50,8.5,34.0,11.0,5.0,1.5,12.5
0.7000000000000001,0.2,50,5.0,24.0,5.5,1.0,0.5,8.0
0.7000000000000001,0.2,50,3.0,13.0,3.5,0.0,1.0,8.0
0.7000000000000001,0.2,50,1.0,12.0,1.0,0.0,0.0,4.5
0.7000000000000001,0.2,50,0.0,6.0,0.5,0.0,0.0,1.0
0.7000000000000001,0.2,50,0.0,1.0,0.0,0.0,0.0,0.5
0.7000000000000001,0.2,50,0.0,1.0,0.0,0.0,0.0,1.0
0.7000000000000001,0.2,50,0.0,3.0,0.0,0.0,0.0,0.5
0.7000000000000001,0.2,50,0.0,2.0,0.0,0.0,0.0,0.0
0.7000000000000001,0.2,50,0.0,1.0,0.0,0.0,0.0,0.0
